acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.00247,https://api.spotify.com/v1/audio-analysis/3P7TBM3lLffnb9tAi8P9R3,0.634,190866,0.849,3P7TBM3lLffnb9tAi8P9R3,0.0964,7,0.107,-5.552,0,0.0314,127.016,4,https://api.spotify.com/v1/tracks/3P7TBM3lLffnb9tAi8P9R3,audio_features,spotify:track:3P7TBM3lLffnb9tAi8P9R3,0.429
0.00691,https://api.spotify.com/v1/audio-analysis/5lKnZbdGCBViitE1Ce5TZh,0.744,178880,0.747,5lKnZbdGCBViitE1Ce5TZh,2.03e-06,11,0.0739,-4.281,0,0.0824,120.077,4,https://api.spotify.com/v1/tracks/5lKnZbdGCBViitE1Ce5TZh,audio_features,spotify:track:5lKnZbdGCBViitE1Ce5TZh,0.368
0.0901,https://api.spotify.com/v1/audio-analysis/6Sq7ltF9Qa7SNFBsV5Cogx,0.911,178567,0.712,6Sq7ltF9Qa7SNFBsV5Cogx,2.68e-05,1,0.0933,-5.105,0,0.0817,92.005,4,https://api.spotify.com/v1/tracks/6Sq7ltF9Qa7SNFBsV5Cogx,audio_features,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,0.425
0.0151,https://api.spotify.com/v1/audio-analysis/0O9ruizHgAtRUP5WLqGQdf,0.831,265600,0.829,0O9ruizHgAtRUP5WLqGQdf,0.0,7,0.0791,-4.826,1,0.153,95.816,4,https://api.spotify.com/v1/tracks/0O9ruizHgAtRUP5WLqGQdf,audio_features,spotify:track:0O9ruizHgAtRUP5WLqGQdf,0.465
0.376,https://api.spotify.com/v1/audio-analysis/6hgoYQDUcPyCz7LcTUHKxa,0.811,219813,0.781,6hgoYQDUcPyCz7LcTUHKxa,0.001,11,0.121,-6.333,1,0.0428,107.007,4,https://api.spotify.com/v1/tracks/6hgoYQDUcPyCz7LcTUHKxa,audio_features,spotify:track:6hgoYQDUcPyCz7LcTUHKxa,0.824
0.195,https://api.spotify.com/v1/audio-analysis/2McT2fkH0VDqPsbiB9HWPq,0.603,264335,0.82,2McT2fkH0VDqPsbiB9HWPq,0.0,1,0.338,-5.773,1,0.136,148.191,4,https://api.spotify.com/v1/tracks/2McT2fkH0VDqPsbiB9HWPq,audio_features,spotify:track:2McT2fkH0VDqPsbiB9HWPq,0.304
0.0521,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,0.644,153947,0.735,1Qrg8KqiBpW07V7PNxwwwL,0.144,8,0.161,-5.747,1,0.0391,88.98,4,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,audio_features,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,0.418
0.953,https://api.spotify.com/v1/audio-analysis/6wf7Yu7cxBSPrRlWeSeK0Q,0.391,222370,0.084,6wf7Yu7cxBSPrRlWeSeK0Q,0.0,0,0.0983,-17.843,1,0.0317,79.449,4,https://api.spotify.com/v1/tracks/6wf7Yu7cxBSPrRlWeSeK0Q,audio_features,spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,0.111
0.00452,https://api.spotify.com/v1/audio-analysis/5SYVnskeo5AbzDfg4DlROs,0.798,228724,0.968,5SYVnskeo5AbzDfg4DlROs,0.908,9,0.0742,-6.889,1,0.0748,126.998,4,https://api.spotify.com/v1/tracks/5SYVnskeo5AbzDfg4DlROs,audio_features,spotify:track:5SYVnskeo5AbzDfg4DlROs,0.963
0.44,https://api.spotify.com/v1/audio-analysis/3USxtqRwSYz57Ewm6wWRMp,0.761,238805,0.525,3USxtqRwSYz57Ewm6wWRMp,6.7e-06,11,0.0921,-6.9,1,0.0944,80.87,4,https://api.spotify.com/v1/tracks/3USxtqRwSYz57Ewm6wWRMp,audio_features,spotify:track:3USxtqRwSYz57Ewm6wWRMp,0.531
