Track,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Apple Music Playlist Count,AirPlay Spins,Shazam Counts,Explicit Track
Friends,V,3/15/2024,USA2P2411822,1203,43.2,196612187,3800,44868049,85,38102046,2794580,2941,26700,16,5014,226475,0
Surface Pressure,Jessica Darrow,11/19/2021,USWD12112914,1204,43.2,318018082,41062,14552186,65,580242930,3471774,128850291,1100134488,35,2041,466130,0
Praise God,Kanye West,8/29/2021,USUM72116287,1208,43.1,451323154,143071,22968843,67,75632640,1192980,540795852,4707280248,24,1395,3075257,0
El Azul,Junior H,2/10/2023,QZ9QQ2300115,1206,43.1,684103586,42304,22784674,76,125144381,583066,68202730,622470844,37,112,764296,0
Earfquake,"Tyler, The Creator",5/17/2019,USQX91901111,1207,43.1,962546385,198786,34308753,76,262134097,4025958,46126757,247993418,106,1834,1242490,1
Ya Suprame En V,Grupo Firme,8/13/2021,QZDQH2148787,1210,43.0,347218974,34933,16279085,57,662346628,2983631,31953097,394751759,23,9924,1337426,0
If U Think Im Pretty,Artemas,10/24/2023,QZTB92397158,1212,43.0,219995278,26538,17112526,78,25556375,392029,83793501,561266399,18,1072,757462,1
Fin De Semana,Oscar Maydon,1/13/2023,QZ9QQ2300040,1211,43.0,568846143,38126,18723665,76,209204080,876672,2225214,19351144,25,275,896673,0
My Oh My,Camila Cabello,12/6/2019,USSM11914257,1218,42.9,703865912,78873,23552368,68,344504691,5473016,288727576,2298790080,74,243345,3703911,0
Forever After All,Luke Combs,10/23/2020,US6XF2000192,1217,42.9,472886929,66543,14596512,70,247466941,1347724,53390196,454676514,71,272994,1332172,0
Hello,Pop Smoke,7/20/2020,USUM72014370,1213,42.9,578061816,190490,26875379,67,261251373,2123833,25346506,259813719,28,34512,2481910,1
Numb,Marshmello,6/10/2022,USRC12202117,1219,42.9,401066217,70661,51920160,69,54641192,657641,8253,172191,79,196397,2292241,0
Ojapiano,KCee,6/3/2023,QZNJW2329848,1222,42.8,27444985,8182,3092737,56,30407112,269687,36069120,619648663,18,1210,1476897,0
