Track,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Apple Music Playlist Count,AirPlay Spins,Shazam Counts,Explicit Track,isrc,spotify_id,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,genre
Surround Sound,JID,1/14/2022,USUM72123571,667,58.9,548724288,170892,80727459,79,91605414,1539359,90067000,813374956,53,1046,5341857,1,USUM72123571,1udwFobQ1JoOdWPQrp2b6u,0.164,https://api.spotify.com/v1/audio-analysis/1udwFobQ1JoOdWPQrp2b6u,0.574,229938.0,0.567,1udwFobQ1JoOdWPQrp2b6u,0.0,7.0,0.258,-7.126,0.0,0.465,75.965,4.0,https://api.spotify.com/v1/tracks/1udwFobQ1JoOdWPQrp2b6u,audio_features,spotify:track:1udwFobQ1JoOdWPQrp2b6u,0.526,Pop
Feather,Sabrina Carpenter,3/17/2023,USUM72301876,673,58.8,488979989,32825,79636817,84,88126911,1378287,35176071,443060258,60,212739,1261815,1,USUM72301876,2Zo1PcszsT9WQ0ANntJbID,0.0736,https://api.spotify.com/v1/audio-analysis/2Zo1PcszsT9WQ0ANntJbID,0.791,185553.0,0.694,2Zo1PcszsT9WQ0ANntJbID,1.75e-06,6.0,0.0958,-4.332,0.0,0.0335,123.508,4.0,https://api.spotify.com/v1/tracks/2Zo1PcszsT9WQ0ANntJbID,audio_features,spotify:track:2Zo1PcszsT9WQ0ANntJbID,0.826,Latin
Super Gremlin,Kodak Black,10/30/2021,USAT22107295,672,58.8,416955991,123862,25561593,63,174009595,1640732,140081850,1163709610,65,254615,2259867,1,USAT22107295,1Y5Jvi3eLi4Chwqch9GMem,0.00265,https://api.spotify.com/v1/audio-analysis/1Y5Jvi3eLi4Chwqch9GMem,0.825,200548.0,0.414,1Y5Jvi3eLi4Chwqch9GMem,0.0,2.0,0.357,-6.634,1.0,0.144,72.993,4.0,https://api.spotify.com/v1/tracks/1Y5Jvi3eLi4Chwqch9GMem,audio_features,spotify:track:1Y5Jvi3eLi4Chwqch9GMem,0.106,R&B/Soul
Super Gremlin,Kodak Black,10/30/2021,USAT22107295,672,58.8,416955991,123862,25561593,63,174009595,1640732,140081850,1163709610,65,254615,2259867,1,USAT22107295,1Y5Jvi3eLi4Chwqch9GMem,0.00265,https://api.spotify.com/v1/audio-analysis/1Y5Jvi3eLi4Chwqch9GMem,0.825,200548.0,0.414,1Y5Jvi3eLi4Chwqch9GMem,0.0,2.0,0.357,-6.634,1.0,0.144,72.993,4.0,https://api.spotify.com/v1/tracks/1Y5Jvi3eLi4Chwqch9GMem,audio_features,spotify:track:1Y5Jvi3eLi4Chwqch9GMem,0.106,R&B/Soul
Super Gremlin,Kodak Black,10/30/2021,USAT22107295,672,58.8,416955991,123862,25561593,63,174009595,1640732,140081850,1163709610,65,254615,2259867,1,USAT22107295,1Y5Jvi3eLi4Chwqch9GMem,0.00265,https://api.spotify.com/v1/audio-analysis/1Y5Jvi3eLi4Chwqch9GMem,0.825,200548.0,0.414,1Y5Jvi3eLi4Chwqch9GMem,0.0,2.0,0.357,-6.634,1.0,0.144,72.993,4.0,https://api.spotify.com/v1/tracks/1Y5Jvi3eLi4Chwqch9GMem,audio_features,spotify:track:1Y5Jvi3eLi4Chwqch9GMem,0.106,R&B/Soul
Super Gremlin,Kodak Black,10/30/2021,USAT22107295,672,58.8,416955991,123862,25561593,63,174009595,1640732,140081850,1163709610,65,254615,2259867,1,USAT22107295,1Y5Jvi3eLi4Chwqch9GMem,0.00265,https://api.spotify.com/v1/audio-analysis/1Y5Jvi3eLi4Chwqch9GMem,0.825,200548.0,0.414,1Y5Jvi3eLi4Chwqch9GMem,0.0,2.0,0.357,-6.634,1.0,0.144,72.993,4.0,https://api.spotify.com/v1/tracks/1Y5Jvi3eLi4Chwqch9GMem,audio_features,spotify:track:1Y5Jvi3eLi4Chwqch9GMem,0.106,R&B/Soul
Natural,Imagine Dragons,7/17/2018,USUM71806694,674,58.8,1228556153,154255,36941962,75,1220581919,10953316,29172920,396994100,72,157544,10463981,0,USUM71806694,2FY7b99s15jUprqC0M5NCT,0.217,https://api.spotify.com/v1/audio-analysis/2FY7b99s15jUprqC0M5NCT,0.704,189467.0,0.611,2FY7b99s15jUprqC0M5NCT,0.0,2.0,0.0812,-6.112,1.0,0.041,99.994,4.0,https://api.spotify.com/v1/tracks/2FY7b99s15jUprqC0M5NCT,audio_features,spotify:track:2FY7b99s15jUprqC0M5NCT,0.22,R&B/Soul
Natural,Imagine Dragons,7/17/2018,USUM71806694,674,58.8,1228556153,154255,36941962,75,1220581919,10953316,29172920,396994100,72,157544,10463981,0,USUM71806694,2FY7b99s15jUprqC0M5NCT,0.217,https://api.spotify.com/v1/audio-analysis/2FY7b99s15jUprqC0M5NCT,0.704,189467.0,0.611,2FY7b99s15jUprqC0M5NCT,0.0,2.0,0.0812,-6.112,1.0,0.041,99.994,4.0,https://api.spotify.com/v1/tracks/2FY7b99s15jUprqC0M5NCT,audio_features,spotify:track:2FY7b99s15jUprqC0M5NCT,0.22,R&B/Soul
Natural,Imagine Dragons,7/17/2018,USUM71806694,674,58.8,1228556153,154255,36941962,75,1220581919,10953316,29172920,396994100,72,157544,10463981,0,USUM71806694,2FY7b99s15jUprqC0M5NCT,0.217,https://api.spotify.com/v1/audio-analysis/2FY7b99s15jUprqC0M5NCT,0.704,189467.0,0.611,2FY7b99s15jUprqC0M5NCT,0.0,2.0,0.0812,-6.112,1.0,0.041,99.994,4.0,https://api.spotify.com/v1/tracks/2FY7b99s15jUprqC0M5NCT,audio_features,spotify:track:2FY7b99s15jUprqC0M5NCT,0.22,R&B/Soul
Natural,Imagine Dragons,7/17/2018,USUM71806694,674,58.8,1228556153,154255,36941962,75,1220581919,10953316,29172920,396994100,72,157544,10463981,0,USUM71806694,2FY7b99s15jUprqC0M5NCT,0.217,https://api.spotify.com/v1/audio-analysis/2FY7b99s15jUprqC0M5NCT,0.704,189467.0,0.611,2FY7b99s15jUprqC0M5NCT,0.0,2.0,0.0812,-6.112,1.0,0.041,99.994,4.0,https://api.spotify.com/v1/tracks/2FY7b99s15jUprqC0M5NCT,audio_features,spotify:track:2FY7b99s15jUprqC0M5NCT,0.22,R&B/Soul
