Track,Artist,Genre,Release Date,All Time Rank,Spotify Streams,Spotify Popularity,YouTube Views,TikTok Views,AirPlay Spins,Shazam Counts,Explicit Track,Isrc,Spotify_id,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_signature,Valence
Trollz With Nicki Minaj,6ix9ine,Hip-Hop/Rap,6/12/2020,3481,169376113,2,485978356,728033853,5773,1192023,1,QZA742002508,3xIzkKqp7oe37NEVrcPjGS,0.0319,0.744,202667.0,0.422,0.00011,1.0,0.11,-8.946,1.0,0.294,180.006,4.0,0.493
Cover Me Up,Morgan Wallen,Indie/Alternative,4/5/2019,3499,457252350,70,284333103,226942604,946,821584,0,QZ22S1800057,5AQNqdpl6SEV9rAHWy7U9w,0.232,0.549,293707.0,0.44,7.37e-06,7.0,0.107,-8.192,1.0,0.0264,128.01,3.0,0.214
Un Verano Sin Ti,Bad Bunny,Acoustic/Folk,5/6/2022,3495,360149048,69,94595491,154135701,681,290721,0,QM6MZ2214895,18HOjcvTVV7W8YzBuOsAPS,0.693,0.503,148143.0,0.496,0.0,5.0,0.123,-9.123,0.0,0.0556,187.844,4.0,0.412
Heat,Gunna,R&B/Soul,6/20/2019,3486,174090982,55,353442033,26278533,117118,2095650,1,USRC11901581,1GIYmwtBbPSHrqcSaukZck,0.0614,0.619,232733.0,0.613,0.0,0.0,0.117,-5.83,1.0,0.0796,82.419,4.0,0.483
I Was Never There,The Weeknd,Rock,3/29/2018,3488,995463505,78,283348553,175752903,283,3364449,0,USUG11800570,1cKHdTo9u0ZymJdPGSh6nq,0.14,0.323,241067.0,0.737,0.000162,10.0,0.163,-4.008,1.0,0.0335,112.923,4.0,0.156
Bar,TINI,Pop,11/11/2021,3487,231155441,54,314218837,72618,6476,313366,0,USHR12142718,0lJE8f0lx8mUSfMyxeYpiC,0.133,0.523,160213.0,0.691,0.0,1.0,0.327,-3.802,1.0,0.0833,94.148,4.0,0.677
Socadona,LUDMILLA,Latin,11/18/2021,3493,74338196,45,85204123,2134165382,2717,203455,0,BRWMB2100422,5jYEiTNR3FQXFouTX7Ju0N,0.0221,0.789,186000.0,0.823,0.0148,2.0,0.0188,-5.341,1.0,0.0667,128.991,4.0,0.891
Sial,Mahalini,Acoustic/Folk,1/23/2023,3525,324327622,75,97061421,1614389086,5387,97349,0,FR10S2380774,6O0WEM0QNEhqpU50BKui7o,0.893,0.562,243725.0,0.433,2.13e-06,2.0,0.122,-6.785,1.0,0.0397,119.998,4.0,0.192
Pelele,Morad,Latin,12/24/2021,3508,153262121,64,105229861,777095126,4605,631030,0,QMFMF2131945,5h5TUj8pU2WhdSeJx9BnX2,0.224,0.83,216828.0,0.698,0.00065,1.0,0.0761,-5.549,0.0,0.163,144.929,4.0,0.825
Carolina,KAROL G,Hip-Hop/Rap,2/24/2023,3517,89487508,66,64767621,466245707,310,186834,0,USUM72222553,3goYw6YHoCjA1sfBzpdgzH,0.485,0.721,162093.0,0.75,0.00422,1.0,0.111,-4.149,0.0,0.33,82.384,4.0,0.697
Krippy Kush,Farruko,R&B/Soul,8/4/2017,3500,261207310,56,1008664592,251282695,2716,1577890,1,USSD11700349,7FfpP3YZ6fOWMdxkIAtud9,0.0668,0.708,230520.0,0.56,0.0,9.0,0.111,-7.132,1.0,0.129,163.043,4.0,0.411
Cuaderno,Dalex,Hip-Hop/Rap,5/10/2019,3511,415170963,63,618739499,72178937,2681,882993,1,QM9WM1900130,7anSoGdgtmJTAPZBzcPhO6,0.523,0.681,286507.0,0.648,0.0,1.0,0.104,-5.021,0.0,0.38,172.02,4.0,0.688
Leja Re,Dhvani Bhanushali,Pop,11/24/2018,3504,64612903,55,1035234284,8550,225,136790,0,INS181802759,68iBMrMRc1rg4eAxJbvxch,0.558,0.791,205975.0,0.761,0.0,1.0,0.107,-4.414,1.0,0.06,100.031,4.0,0.449
Paro Speed Up,Nej,Pop,5/20/2021,3512,92866817,53,510081,6637149421,3,1728511,1,FRX282231651,7d5voMioFtAXgptcvqFuDD,0.233,0.651,153800.0,0.829,0.00313,5.0,0.401,-5.266,0.0,0.128,106.62,4.0,0.246
Burn Burn Burn,Zach Bryan,Acoustic/Folk,9/8/2022,3501,261905370,75,23316855,16825671,45,345080,0,USWB12205041,5jfhLCSIFUO4ndzNRh4w4G,0.897,0.508,268856.0,0.296,5e-05,3.0,0.11,-10.513,1.0,0.0755,82.532,4.0,0.134
Girl,Myke Towers,Pop,1/24/2020,3523,358885100,70,386760006,384081312,8648,921816,1,QM4TW2040254,43NqTeL8pgBxKHPMiJKUP5,0.0325,0.733,186427.0,0.708,0.000327,6.0,0.324,-4.957,1.0,0.0937,93.021,4.0,0.694
Headshot,Lil Tjay,Hip-Hop/Rap,3/19/2021,3502,331506695,65,22151531,89324319,4038,363790,1,USSM12101091,4eNOLmx8r2IJAVKvBBL1jv,0.0802,0.808,144349.0,0.639,0.0,1.0,0.15,-7.266,0.0,0.279,118.0,4.0,0.395
Llylm,ROSALÃÂ¯ÃÂ¿ÃÂ½,Pop,1/27/2023,3513,163400564,60,37506561,107127704,70787,1343247,0,USSM12300114,2SiAcexM2p1yX6joESbehd,0.129,0.555,174045.0,0.634,2.32e-06,6.0,0.188,-5.522,0.0,0.273,170.228,4.0,0.555
Levels,Sidhu Moose Wala,Pop,5/25/2022,3510,146988095,59,262992730,69189680,259,366308,1,INU252204222,3N63ojza4VEjyaHbatgfOv,0.00169,0.593,228706.0,0.73,0.0,2.0,0.352,-5.95,1.0,0.308,113.413,5.0,0.546
La Player Bandolera,Zion & Lennox,Latin,2/23/2018,3520,603009543,65,752863338,33166882,13214,1628610,0,USWL11700273,0VKkyBKCXyR99navhVRqcP,0.16,0.769,249609.0,0.838,0.0,2.0,0.0935,-5.238,1.0,0.0633,93.996,4.0,0.602
